time;knee_l_on_femur_l_in_tibia_l_fx;knee_l_on_femur_l_in_tibia_l_fy;knee_l_on_femur_l_in_tibia_l_fz;knee_l_on_femur_l_in_tibia_l_mx;knee_l_on_femur_l_in_tibia_l_my;knee_l_on_femur_l_in_tibia_l_mz;knee_l_on_femur_l_in_tibia_l_px;knee_l_on_femur_l_in_tibia_l_py;knee_l_on_femur_l_in_tibia_l_pz
1.331;-240.0549174;1204.74929;-103.1519928;52.96330221;22.60137705;19.6070847;-0.103692435;0.443404082;-3.47E-18
1.332;-246.9761533;1223.489774;-104.7810587;53.45076684;23.19037828;19.68315645;-0.104645073;0.443193335;-6.94E-18
1.333;-253.9646784;1242.479875;-106.4164484;53.92522723;23.78098567;19.77804495;-0.105586681;0.442982967;-6.94E-18
1.334;-260.9465087;1261.128331;-108.0382572;54.39974914;24.37162384;19.8642435;-0.106517137;0.442773077;1.04E-17
1.335;-267.9160153;1279.40138;-109.6450207;54.87649078;24.9623314;19.93905436;-0.107436322;0.442563762;1.39E-17
1.336;-274.9132545;1297.627964;-111.2470702;55.34978918;25.55391445;20.01708604;-0.108344123;0.442355116;6.94E-18
1.337;-281.9798892;1316.137391;-112.8551705;55.81430537;26.14750749;20.11350183;-0.109240437;0.442147236;-1.39E-17
1.338;-289.1115843;1334.895734;-114.4680143;56.27166902;26.7430148;20.22667771;-0.110125162;0.441940213;6.94E-18
1.339;-296.2317146;1353.314508;-116.0658623;56.73481977;27.33877331;20.32779851;-0.110998206;0.44173414;-6.94E-18
1.34;-303.3341855;1371.36158;-117.6475649;57.20514107;27.93474344;20.41445764;-0.111859482;0.441529107;-1.39E-17
1.341;-309.9140305;1387.805952;-118.8556713;57.38188771;28.43383768;20.56457426;-0.112708907;0.441325201;1.74E-17
1.342;-316.5552662;1404.539859;-120.0703678;57.55554508;28.93480148;20.73187886;-0.113546405;0.441122511;6.94E-18
1.343;-323.2532636;1421.530981;-121.2906278;57.72729906;29.43757627;20.91492381;-0.114371905;0.440921123;3.47E-18
1.344;-329.9270801;1438.191365;-122.4970931;57.90755036;29.93999606;21.08438069;-0.115185343;0.440721119;1.04E-17
1.345;-336.5698423;1454.488155;-123.6888604;58.09667019;30.44186975;21.23811273;-0.115986657;0.440522582;6.94E-18
1.346;-343.2244965;1470.751048;-124.8770491;58.28852894;30.94424319;21.3925965;-0.116775793;0.440325592;6.94E-18
1.347;-349.9362529;1487.31056;-126.0729431;58.47864654;31.44876479;21.5644688;-0.117552703;0.440130228;1.04E-17
1.348;-356.6995192;1504.13359;-127.2757795;58.66733666;31.95524821;21.75246887;-0.118317341;0.439936567;0
1.349;-363.4285615;1520.628549;-128.4662911;58.86206383;32.46067625;21.92661922;-0.119069669;0.439744683;0
1.35;-370.1156577;1536.760348;-129.6435424;59.06248204;32.9646433;22.08485463;-0.119809652;0.439554649;-6.94E-18
1.351;-376.1242693;1550.695861;-130.3688885;58.93776365;33.37198372;22.28288838;-0.120537261;0.439366535;-6.94E-18
1.352;-382.1740682;1564.926507;-131.1045388;58.80940681;33.7802145;22.49958493;-0.121252472;0.439180411;6.94E-18
1.353;-388.2584916;1579.416152;-131.8497197;58.67691769;34.18889501;22.73367104;-0.121955267;0.438996343;3.47E-18
1.354;-394.2887738;1593.569678;-132.5843968;58.5463312;34.59427715;22.95394978;-0.12264563;0.438814395;6.94E-18
1.355;-400.2570469;1607.350008;-133.3073538;58.41725141;34.99581549;23.15819748;-0.123323552;0.43863463;-1.39E-17
1.356;-406.2095358;1621.083908;-134.0299575;58.28470737;35.39495561;23.36375885;-0.123989029;0.438457108;0
1.357;-412.1914151;1635.093197;-134.764092;58.14321236;35.79321153;23.58877635;-0.124642059;0.438281886;-6.94E-18
1.358;-418.1953509;1649.338133;-135.5086108;57.99191178;36.18984383;23.83169111;-0.125282648;0.43810902;-6.94E-18
1.359;-424.1326076;1663.226858;-136.2421301;57.83787219;36.58093878;24.05960243;-0.125910804;0.437938564;6.94E-18
1.36;-429.9960139;1676.722009;-136.9635142;57.68166682;36.96606222;24.26987262;-0.12652654;0.437770569;-6.94E-18
1.361;-434.827133;1686.897385;-137.1503525;57.26512912;37.29370841;24.50838119;-0.127129874;0.437605083;0
1.362;-439.6647306;1697.317292;-137.3473832;56.83405177;37.6168562;24.76654092;-0.127720827;0.437442154;0
1.363;-444.5016872;1707.939044;-137.555082;56.38957751;37.93496999;25.04225277;-0.128299425;0.437281826;-6.94E-18
1.364;-449.2528648;1718.183395;-137.7588845;55.9482056;38.24618348;25.30081593;-0.128865698;0.43712414;3.47E-18
1.365;-453.9128646;1728.018059;-137.9535102;55.50834423;38.54975807;25.53952312;-0.129419681;0.436969136;1.74E-17
1.366;-458.5277451;1737.761503;-138.1432426;55.05838485;38.84573561;25.77706438;-0.129961409;0.436816853;1.04E-17
1.367;-463.1394161;1747.709817;-138.3403765;54.59118366;39.13451856;26.03188358;-0.130490924;0.436667325;-1.04E-17
1.368;-467.7415454;1757.821528;-138.5441716;54.10804534;39.41558399;26.30150425;-0.131008271;0.436520586;1.04E-17
1.369;-472.2556238;1767.549815;-138.7317302;53.62294299;39.68754007;26.55077224;-0.131513498;0.436376667;6.94E-18
1.37;-476.6777322;1776.86684;-138.9015611;53.13795439;39.950638;26.77692404;-0.132006658;0.436235595;-6.94E-18
1.371;-480.0708589;1783.665829;-138.7884234;52.62107453;40.17479003;27.09549516;-0.132487804;0.436097398;6.94E-18
1.372;-483.4499183;1790.641314;-138.6803996;52.08921391;40.39011188;27.42849287;-0.132956992;0.435962101;0
1.373;-486.8102398;1797.756533;-138.5754399;51.54362181;40.59628147;27.77327118;-0.133414282;0.435829727;0
1.374;-490.0801835;1804.501901;-138.4532955;51.00217313;40.79426736;28.09521698;-0.13385974;0.435700294;6.94E-18
1.375;-493.2573016;1810.85583;-138.3131281;50.46741903;40.9848004;28.39189919;-0.134293433;0.435573822;0
1.376;-496.3834055;1817.106964;-138.165953;49.93110456;41.16777315;28.68194221;-0.134715425;0.435450328;0
1.377;-499.4975684;1823.521276;-138.0211245;49.3848271;41.34224912;28.98272728;-0.135125787;0.435329826;0
1.378;-502.5963924;1830.067776;-137.8770035;48.83057333;41.5084193;29.29173192;-0.135524589;0.43521233;1.04E-17
1.379;-505.6129907;1836.273916;-137.7163794;48.2872402;41.66915822;29.57607767;-0.13591191;0.43509785;-3.47E-18
1.38;-508.5454608;1842.122235;-137.5387544;47.75687747;41.82536851;29.83375443;-0.136287826;0.434986394;-3.47E-18
1.381;-510.9765696;1847.214005;-137.4103903;47.34471381;41.94290803;30.17386104;-0.136652412;0.434877972;6.94E-18
1.382;-513.4005945;1852.472662;-137.2835724;46.92887325;42.05415849;30.52184888;-0.137005747;0.43477259;0
1.383;-515.8149511;1857.872259;-137.1571918;46.51149498;42.15970837;30.87549926;-0.137347912;0.434670252;0
1.384;-518.1544689;1862.969094;-137.0170505;46.10958975;42.26320729;31.20424923;-0.13767899;0.43457096;0
1.385;-520.4167444;1867.746646;-136.8631905;45.72453798;42.3654876;31.50657865;-0.137999065;0.434474716;-1.39E-17
1.386;-522.6402171;1872.461699;-136.7042376;45.34769626;42.46530903;31.79971173;-0.138308221;0.43438152;0
1.387;-524.8637403;1877.357216;-136.547401;44.97303534;42.56184805;32.09915346;-0.138606543;0.434291371;6.94E-18
1.388;-527.0846413;1882.409399;-136.3919825;44.60229832;42.65580343;32.40300132;-0.138894117;0.434204265;0
1.389;-529.2365219;1887.192294;-136.226047;44.24852478;42.75029662;32.68300876;-0.139171033;0.434120198;0
1.39;-531.3160131;1891.687206;-136.0496587;43.9120659;42.84576894;32.93788275;-0.139437378;0.434039165;6.94E-18
1.391;-533.5764404;1896.693264;-135.7080374;43.55435056;42.85000104;33.15855167;-0.139693241;0.433961159;6.94E-18
1.392;-535.8434684;1901.884652;-135.3694534;43.20185227;42.85365253;33.38363047;-0.139938712;0.433886172;6.94E-18
1.393;-538.1136294;1907.236747;-135.0333595;42.85560612;42.85724923;33.61141462;-0.140173882;0.433814194;0
1.394;-540.3178679;1912.333335;-134.6890703;42.52388376;42.8623858;33.81563597;-0.14039884;0.433745216;0
1.395;-542.4512742;1917.151609;-134.3373649;42.20695323;42.86918295;33.99516437;-0.14061368;0.433679226;6.94E-18
1.396;-544.5531611;1921.926876;-133.9827983;41.89775403;42.87640728;34.16470899;-0.140818491;0.433616212;1.39E-17
1.397;-546.6615067;1926.880038;-133.6320398;41.59406036;42.88428908;34.3377968;-0.141013367;0.43355616;0
1.398;-548.7718996;1931.983744;-133.2844509;41.29614932;42.89296037;34.51273427;-0.141198399;0.433499056;-6.94E-18
1.399;-550.813569;1936.832033;-132.9299582;41.0083036;42.90227702;34.66501546;-0.141373678;0.433444885;6.94E-18
1.4;-552.7818074;1941.401791;-132.5681722;40.72973997;42.91187206;34.79341725;-0.141539296;0.433393631;-6.94E-18
1.401;-554.4188633;1944.897448;-132.1791334;40.49985875;42.87900953;34.89306524;-0.141695346;0.433345277;0
1.402;-556.0587878;1948.544634;-131.7931227;40.27303174;42.84643671;34.99405716;-0.141841918;0.433299806;1.39E-17
1.403;-557.696566;1952.313851;-131.4093377;40.04904306;42.81391754;35.09466181;-0.141979104;0.433257199;-1.39E-17
1.404;-559.2621965;1955.81759;-131.0183345;39.82989364;42.78020898;35.172306;-0.142106994;0.433217439;-2.08E-17
1.405;-560.7513935;1959.034343;-130.619645;39.61491277;42.74487604;35.22586958;-0.142225676;0.433180505;0
1.406;-562.2021993;1962.176678;-130.218409;39.40184696;42.70804885;35.26797893;-0.142335242;0.433146377;0
