time;knee_angle_l
1.586;-10.01866533
1.587;-9.96648774
1.588;-9.91492772
1.589;-9.86398615
1.59;-9.81366367
1.591;-9.76396061
1.592;-9.71487679
1.593;-9.66641114
1.594;-9.61856172
1.595;-9.57132633
1.596;-9.52470254
1.597;-9.47868736
1.598;-9.43327693
1.599;-9.38846647
1.6;-9.34425102
1.601;-9.30062537
1.602;-9.25758374
1.603;-9.2151195
1.604;-9.17322516
1.605;-9.13189304
1.606;-9.09111526
1.607;-9.05088341
1.608;-9.01118832
1.609;-8.97201998
1.61;-8.93336826
1.611;-8.89522285
1.612;-8.85757297
1.613;-8.82040712
1.614;-8.78371307
1.615;-8.74747849
1.616;-8.71169088
1.617;-8.67633735
1.618;-8.64140434
1.619;-8.60687765
1.62;-8.57274299
1.621;-8.53898599
1.622;-8.50559193
1.623;-8.47254557
1.624;-8.43983109
1.625;-8.40743267
1.626;-8.37533451
1.627;-8.34352059
1.628;-8.3119744
1.629;-8.28067898
1.63;-8.24961745
1.631;-8.21877305
1.632;-8.18812891
1.633;-8.15766777
1.634;-8.12737194
1.635;-8.09722395
1.636;-8.06720658
1.637;-8.03730261
1.638;-8.00749446
1.639;-7.97776423
1.64;-7.9480944
1.641;-7.9184678
1.642;-7.88886737
1.643;-7.85927581
1.644;-7.82967556
1.645;-7.80004959
1.646;-7.77038136
1.647;-7.74065453
1.648;-7.71085261
1.649;-7.68095902
1.65;-7.6509578
1.651;-7.62083358
1.652;-7.5905713
1.653;-7.56015588
1.654;-7.5295723
1.655;-7.49880621
1.656;-7.46784396
1.657;-7.43667225
1.658;-7.40527792
1.659;-7.373648
1.66;-7.34177025
1.661;-7.30963317
1.662;-7.2772257
1.663;-7.24453705
1.664;-7.21155678
1.665;-7.17827519
1.666;-7.14468336
1.667;-7.11077296
1.668;-7.07653603
1.669;-7.04196502
1.67;-7.00705321
1.671;-6.97179472
1.672;-6.93618429
1.673;-6.90021712
1.674;-6.86388882
1.675;-6.8271959
1.676;-6.79013573
1.677;-6.75270641
1.678;-6.71490648
1.679;-6.67673489
1.68;-6.63819153
1.681;-6.59927725
1.682;-6.55999364
1.683;-6.52034275
1.684;-6.48032701
1.685;-6.43994995
1.686;-6.39921612
1.687;-6.35813084
1.688;-6.31669987
1.689;-6.27492934
1.69;-6.23282644
1.691;-6.19039945
1.692;-6.14765732
1.693;-6.10460942
1.694;-6.06126547
1.695;-6.01763625
1.696;-5.97373354
1.697;-5.92956981
1.698;-5.8851579
1.699;-5.84051101
1.7;-5.79564335
1.701;-5.75057008
1.702;-5.70530699
1.703;-5.65987026
1.704;-5.61427637
1.705;-5.56854274
1.706;-5.52268763
1.707;-5.47672986
1.708;-5.43068855
1.709;-5.38458309
1.71;-5.33843365
1.711;-5.29226119
1.712;-5.24608713
1.713;-5.19993313
1.714;-5.15382099
1.715;-5.10777324
1.716;-5.06181309
1.717;-5.01596418
1.718;-4.97025024
1.719;-4.92469507
1.72;-4.87932309
1.721;-4.83415935
1.722;-4.7892292
1.723;-4.74455795
1.724;-4.7001708
1.725;-4.65609352
1.726;-4.61235237
1.727;-4.5689738
1.728;-4.5259841
1.729;-4.48340934
1.73;-4.44127619
1.731;-4.39961177
1.732;-4.35844325
1.733;-4.31779744
1.734;-4.27770078
1.735;-4.23818001
1.736;-4.19926217
1.737;-4.16097421
1.738;-4.12334259
1.739;-4.08639328
1.74;-4.05015243
1.741;-4.01464641
1.742;-3.97990132
1.743;-3.94594273
1.744;-3.91279553
1.745;-3.88048475
1.746;-3.84903544
1.747;-3.81847235
1.748;-3.78881953
1.749;-3.76010025
1.75;-3.73233782
1.751;-3.70555544
1.752;-3.6797759
1.753;-3.6550212
1.754;-3.63131246
1.755;-3.60867072
1.756;-3.58711685
1.757;-3.56667114
1.758;-3.54735298
1.759;-3.52918083
1.76;-3.51217299
1.761;-3.49634757
1.762;-3.48172208
1.763;-3.46831313
1.764;-3.45613634
1.765;-3.44520709
